id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
1649,Colegio De Bachilleres,lic. en turismo,derecho,presencial,8,2024-11-04,juarez
1650,Uabjo,lic. en biologia,educacion,presencial,10,2024-01-26,Pochutla
1651,Tebacsso,lic. en economia,ingenieria,virtual,10,2024-08-23,oaxaca capital
1652,Cecyte,lic en enfermeria,ingenieria,presencial,10,2024-01-10,Etla
1653,Escuela Normal,lic. en derecho,educacion,presencial,6,2024-09-17,Salina Cruz
1654,Tebacsso,tec en mecanica,administracion,virtual,6,2024-05-07,Huajuapan
1655,Colegio De Bachilleres,lic. en filosofia,artes,presencial,8,2024-04-30,Huajuapan
1656,Ujat,tec en mecanica,tecnologia,virtual,6,2024-04-10,juarez
1657,Univers. Autonoma,lic. en educacion,tecnologia,semi presencial,8,2024-01-06,Pochutla
1658,Tecnologica Del Valle,lic. en biologia,educacion,semi presencial,6,2024-07-09,Etla
1659,Tecnologica Del Valle,tec en mecanica,economia,virtual,6,2024-05-19,Ixtlan
1660,Escuela Normal,lic. en turismo,artes,semi presencial,10,2024-08-15,Huajuapan
1661,Univers. Autonoma,administracion de empresas,artes,presencial,8,2024-06-19,Huajuapan
1662,Cecyte,contabilidad,artes,semi presencial,8,2024-11-19,Huajuapan
1663,Univers. Autonoma,lic. en derecho,ciencias sociales,presencial,8,2024-04-10,Tlacolula
1664,Tecnologica Del Valle,lic en enfermeria,derecho,semi presencial,8,2024-12-11,Salina Cruz
1665,Ies Oaxaca,ingenieria en sistemas computacionales,derecho,semi presencial,6,2024-03-03,Pochutla
1666,Tecnologica Del Valle,lic. en derecho,artes,virtual,8,2024-03-17,oaxaca capital
1667,Conalep,lic en enfermeria,artes,semi presencial,6,2024-02-17,Lachixio
1668,Conalep,ingenieria en sistemas computacionales,ciencias sociales,presencial,10,2024-07-14,juarez
1669,Univers. Autonoma,ingenieria en sistemas computacionales,administracion,presencial,10,2024-10-20,Huajuapan
1670,Instituto Tecnologico,lic. en economia,derecho,semi presencial,6,2024-02-20,Huajuapan
1671,Ies Oaxaca,tec. en electronica,ingenieria,semi presencial,6,2024-05-03,Tlacolula
1672,Tecnologica Del Valle,administracion de empresas,ingenieria,presencial,10,2024-02-23,Salina Cruz
1673,Ujat,administracion de empresas,salud,semi presencial,8,2024-06-04,Xoxocotlan
1674,Ies Oaxaca,lic. en educacion,salud,virtual,6,2024-01-01,Lachixio
1675,Cecyte,lic. en biologia,derecho,semi presencial,6,2024-12-08,oaxaca capital
1676,Escuela Normal,lic en enfermeria,administracion,virtual,8,2024-02-11,Etla
1677,Ies Oaxaca,tec. en informatica,tecnologia,semi presencial,8,2024-01-16,Etla
1678,Ujat,lic. en turismo,derecho,virtual,6,2024-12-26,juarez
1679,Centro De Estudios,lic. en comunicacion,derecho,presencial,8,2024-05-26,Lachixio
1680,Univers. Autonoma,lic. en comunicacion,humanidades,virtual,10,2024-09-03,Ixtlan
1681,Tebacsso,ingenieria electronica,ingenieria,presencial,6,2024-11-24,Pochutla
1682,Univers. Autonoma,administracion de empresas,educacion,virtual,6,2024-06-14,Huajuapan
1683,Escuela Normal,administracion de empresas,humanidades,semi presencial,10,2024-12-29,Huajuapan
1684,Instituto Tecnologico,lic en enfermeria,humanidades,presencial,6,2024-04-26,Salina Cruz
1685,Instituto Tecnologico,lic. en turismo,artes,virtual,8,2024-01-01,Salina Cruz
1686,Instituto Tecnologico,contabilidad,ciencias sociales,virtual,10,2024-03-18,Etla
1687,Escuela Normal,ingenieria civil,ingenieria,presencial,8,2024-02-29,Etla
1688,Ujat,ingenieria en sistemas computacionales,derecho,virtual,8,2024-07-23,Pochutla
1689,Ujat,ingenieria civil,ingenieria,virtual,8,2024-12-18,Pochutla
1690,Colegio De Bachilleres,tec. en electronica,artes,semi presencial,8,2024-04-28,Etla
1691,Escuela Normal,lic. en economia,salud,presencial,6,2024-03-25,Salina Cruz
1692,Conalep,tec. en informatica,tecnologia,virtual,6,2024-01-31,Pochutla
1693,Tebacsso,lic. en economia,economia,virtual,10,2024-10-06,Huajuapan
1694,Centro De Estudios,lic. en derecho,ingenieria,semi presencial,8,2024-09-05,oaxaca capital
1695,Instituto Superior,lic. en biologia,artes,semi presencial,6,2024-08-22,juarez
1696,Uabjo,lic en enfermeria,tecnologia,virtual,8,2024-08-06,oaxaca capital
1697,Tebacsso,lic. en derecho,economia,semi presencial,8,2024-04-23,Salina Cruz
1698,Escuela Normal,lic. en psicologia,ingenieria,virtual,10,2024-01-18,Xoxocotlan
1699,Cecyte,administracion de empresas,administracion,virtual,8,2024-03-17,Pochutla
1700,Uabjo,ingenieria civil,salud,semi presencial,6,2024-11-07,Xoxocotlan
1701,Centro De Estudios,diseño grafico,ciencias sociales,semi presencial,6,2024-11-06,oaxaca capital
1702,Cecyte,contabilidad,humanidades,semi presencial,8,2024-01-07,Lachixio
1703,Ies Oaxaca,lic. en derecho,tecnologia,virtual,6,2024-12-18,Etla
1704,Tebacsso,lic. en turismo,educacion,presencial,8,2024-12-16,Huajuapan
1705,Uabjo,lic. en derecho,economia,presencial,6,2024-01-05,Huajuapan
1706,Tecnologica Del Valle,lic. en educacion,derecho,virtual,8,2024-03-02,Tlacolula
1707,Tebacsso,ingenieria electronica,derecho,presencial,6,2024-05-30,Xoxocotlan
1708,Univers. Autonoma,contabilidad,salud,virtual,10,2024-06-04,Etla
1709,Cecyte,diseño grafico,artes,virtual,8,2024-03-25,Huajuapan
1710,Ies Oaxaca,ingenieria civil,economia,virtual,10,2024-09-01,oaxaca capital
1711,Escuela Normal,contabilidad,administracion,presencial,10,2024-02-21,Ixtlan
1712,Univers. Autonoma,lic. en filosofia,tecnologia,semi presencial,8,2024-05-31,Etla
1713,Instituto Superior,lic en enfermeria,humanidades,virtual,10,2024-03-06,Xoxocotlan
1714,Conalep,lic en enfermeria,artes,presencial,8,2024-12-11,Salina Cruz
1715,Colegio De Bachilleres,lic. en turismo,ciencias sociales,virtual,6,2024-04-27,oaxaca capital
1716,Instituto Tecnologico,lic. en psicologia,administracion,presencial,8,2024-04-15,Ixtlan
1717,Instituto Superior,lic en enfermeria,humanidades,semi presencial,6,2024-06-08,Tlacolula
1718,Ies Oaxaca,diseño grafico,artes,virtual,6,2024-03-22,Huajuapan
1719,Centro De Estudios,lic. en derecho,humanidades,virtual,8,2024-04-08,Tlacolula
1720,Conalep,lic. en educacion,ingenieria,virtual,10,2024-11-01,Tlacolula
1721,Ujat,lic. en educacion,administracion,presencial,8,2024-10-10,Etla
1722,Ies Oaxaca,lic. en educacion,ciencias sociales,presencial,10,2024-12-20,Lachixio
1723,Cecyte,diseño grafico,salud,presencial,8,2024-07-09,Xoxocotlan
1724,Uabjo,lic. en psicologia,tecnologia,presencial,10,2024-03-23,juarez
1725,Ujat,diseño grafico,ciencias sociales,presencial,10,2024-01-20,Etla
1726,Colegio De Bachilleres,tec en mecanica,salud,virtual,10,2024-03-20,Tlacolula
1727,Instituto Tecnologico,lic en enfermeria,economia,virtual,10,2024-10-27,Huajuapan
1728,Tecnologica Del Valle,tec en mecanica,ingenieria,presencial,10,2024-12-01,Pochutla
1729,Colegio De Bachilleres,lic en enfermeria,artes,semi presencial,10,2024-10-28,oaxaca capital
1730,Univers. Autonoma,lic. en biologia,humanidades,virtual,8,2024-05-04,Salina Cruz
1731,Centro De Estudios,ingenieria civil,administracion,virtual,6,2024-10-10,Xoxocotlan
1732,Tebacsso,lic. en educacion,ingenieria,semi presencial,6,2024-01-21,Etla
1733,Uabjo,tec. en electronica,administracion,presencial,6,2024-08-16,Lachixio
1734,Centro De Estudios,contabilidad,humanidades,semi presencial,6,2024-03-16,oaxaca capital
1735,Instituto Tecnologico,lic. en psicologia,ingenieria,virtual,8,2024-09-02,Salina Cruz
1736,Univers. Autonoma,lic. en derecho,ingenieria,virtual,10,2024-09-02,oaxaca capital
1737,Instituto Superior,lic en enfermeria,educacion,presencial,10,2024-01-01,Lachixio
1738,Cecyte,lic. en economia,tecnologia,semi presencial,10,2024-11-10,Ixtlan
1739,Instituto Superior,lic. en derecho,humanidades,semi presencial,10,2024-03-24,Xoxocotlan
1740,Centro De Estudios,ingenieria civil,tecnologia,semi presencial,6,2024-05-29,Lachixio
1741,Escuela Normal,lic. en turismo,economia,presencial,10,2024-02-04,Huajuapan
1742,Instituto Superior,lic en enfermeria,humanidades,presencial,10,2024-06-15,oaxaca capital
1743,Colegio De Bachilleres,lic. en psicologia,artes,presencial,8,2024-06-19,Salina Cruz
1744,Centro De Estudios,diseño grafico,tecnologia,presencial,10,2024-06-25,Ixtlan
1745,Tecnologica Del Valle,lic. en filosofia,artes,virtual,8,2024-08-26,Xoxocotlan
1746,Instituto Tecnologico,lic. en filosofia,derecho,semi presencial,10,2024-08-30,Etla
1747,Ies Oaxaca,lic. en educacion,salud,presencial,10,2024-10-08,oaxaca capital
1748,Instituto Superior,lic. en educacion,administracion,semi presencial,8,2024-09-21,Lachixio
1749,Uabjo,lic. en turismo,salud,virtual,10,2024-03-21,Xoxocotlan
1750,Uabjo,lic. en turismo,salud,presencial,6,2024-12-24,Salina Cruz
1751,Instituto Superior,lic. en psicologia,artes,semi presencial,8,2024-11-18,oaxaca capital
1752,Cecyte,contabilidad,derecho,virtual,8,2024-07-23,Huajuapan
1753,Univers. Autonoma,lic. en economia,ingenieria,presencial,6,2024-02-29,Lachixio
1754,Ies Oaxaca,lic. en derecho,artes,presencial,6,2024-07-31,oaxaca capital
1755,Tecnologica Del Valle,ingenieria electronica,humanidades,presencial,10,2024-10-29,Etla
1756,Ujat,diseño grafico,artes,presencial,10,2024-02-27,oaxaca capital
1757,Instituto Superior,lic. en derecho,ingenieria,virtual,10,2024-06-05,Etla
1758,Univers. Autonoma,contabilidad,ciencias sociales,presencial,8,2024-10-16,juarez
1759,Ujat,lic. en educacion,humanidades,presencial,10,2024-10-28,Lachixio
1760,Conalep,lic. en economia,humanidades,presencial,10,2024-12-29,Lachixio
1761,Tecnologica Del Valle,ingenieria civil,tecnologia,semi presencial,10,2024-07-15,Lachixio
1762,Instituto Tecnologico,lic. en educacion,derecho,semi presencial,6,2024-07-23,oaxaca capital
1763,Instituto Superior,lic. en biologia,derecho,presencial,10,2024-02-11,Lachixio
1764,Colegio De Bachilleres,lic. en psicologia,economia,presencial,6,2024-05-11,Salina Cruz
1765,Centro De Estudios,lic. en educacion,economia,semi presencial,8,2024-01-14,juarez
1766,Tebacsso,lic. en educacion,economia,virtual,8,2024-12-15,juarez
1767,Cecyte,diseño grafico,salud,virtual,8,2024-06-18,Pochutla
1768,Univers. Autonoma,lic. en filosofia,artes,semi presencial,6,2024-11-02,Tlacolula
1769,Instituto Tecnologico,lic. en educacion,ciencias sociales,semi presencial,6,2024-12-22,Tlacolula
1770,Instituto Tecnologico,lic. en derecho,ingenieria,semi presencial,8,2024-04-01,Lachixio
1771,Tebacsso,administracion de empresas,ciencias sociales,semi presencial,8,2024-06-03,Huajuapan
1772,Instituto Tecnologico,ingenieria electronica,derecho,presencial,10,2024-11-15,Xoxocotlan
1773,Ies Oaxaca,lic. en economia,humanidades,semi presencial,6,2024-05-28,juarez
1774,Escuela Normal,administracion de empresas,tecnologia,virtual,6,2024-11-29,Pochutla
1775,Colegio De Bachilleres,lic. en economia,salud,semi presencial,10,2024-11-08,Etla
1776,Univers. Autonoma,lic. en economia,economia,semi presencial,10,2024-12-23,Ixtlan
1777,Instituto Tecnologico,tec en mecanica,tecnologia,virtual,6,2024-04-27,Ixtlan
1778,Instituto Tecnologico,tec. en informatica,ingenieria,presencial,10,2024-07-07,Pochutla
1779,Escuela Normal,contabilidad,administracion,virtual,8,2024-11-07,Pochutla
1780,Escuela Normal,contabilidad,derecho,virtual,6,2024-07-07,Ixtlan
1781,Cecyte,ingenieria civil,ingenieria,presencial,6,2024-09-24,Pochutla
1782,Conalep,tec en mecanica,tecnologia,virtual,6,2024-02-29,Tlacolula
1783,Centro De Estudios,administracion de empresas,economia,virtual,8,2024-03-17,Pochutla
1784,Instituto Superior,lic. en biologia,economia,semi presencial,6,2024-10-04,Salina Cruz
1785,Colegio De Bachilleres,tec en mecanica,tecnologia,presencial,10,2024-05-11,oaxaca capital
1786,Tecnologica Del Valle,lic en enfermeria,ingenieria,virtual,10,2024-08-13,Tlacolula
1787,Escuela Normal,diseño grafico,ciencias sociales,presencial,8,2024-06-30,Pochutla
1788,Cecyte,lic. en comunicacion,educacion,virtual,6,2024-08-04,Pochutla
1789,Ies Oaxaca,lic. en filosofia,ciencias sociales,virtual,10,2024-05-05,Pochutla
1790,Tecnologica Del Valle,contabilidad,tecnologia,presencial,10,2024-07-31,Salina Cruz
1791,Instituto Tecnologico,lic en enfermeria,educacion,presencial,10,2024-09-21,oaxaca capital
1792,Ies Oaxaca,lic. en economia,derecho,presencial,6,2024-08-09,oaxaca capital
1793,Ujat,ingenieria electronica,tecnologia,semi presencial,6,2024-05-08,Lachixio
1794,Tecnologica Del Valle,administracion de empresas,ciencias sociales,virtual,8,2024-09-04,Tlacolula
1795,Tebacsso,lic. en psicologia,educacion,virtual,10,2024-05-15,Pochutla
1796,Uabjo,ingenieria civil,educacion,semi presencial,10,2024-04-04,Pochutla
1797,Ujat,ingenieria civil,ciencias sociales,virtual,6,2024-08-27,Xoxocotlan
1798,Ujat,tec en mecanica,ciencias sociales,presencial,8,2024-01-03,Lachixio
1799,Ies Oaxaca,ingenieria en sistemas computacionales,ingenieria,semi presencial,8,2024-09-21,Salina Cruz
1800,Instituto Superior,tec. en informatica,artes,semi presencial,6,2024-03-21,oaxaca capital
1801,Cecyte,tec. en electronica,economia,virtual,6,2024-12-20,Xoxocotlan
1802,Tebacsso,administracion de empresas,ciencias sociales,virtual,10,2024-03-25,Huajuapan
1803,Cecyte,tec. en informatica,derecho,semi presencial,8,2024-01-18,Huajuapan
1804,Escuela Normal,lic. en turismo,economia,presencial,8,2024-02-23,Tlacolula
1805,Colegio De Bachilleres,contabilidad,derecho,presencial,8,2024-02-15,juarez
1806,Cecyte,diseño grafico,ciencias sociales,presencial,8,2024-06-08,Lachixio
1807,Instituto Superior,contabilidad,ciencias sociales,virtual,6,2024-03-29,Tlacolula
1808,Univers. Autonoma,lic. en turismo,ingenieria,presencial,10,2024-07-16,Etla
1809,Conalep,tec en mecanica,humanidades,presencial,6,2024-02-13,Lachixio
1810,Uabjo,lic. en derecho,humanidades,semi presencial,8,2024-07-09,Lachixio
1811,Escuela Normal,lic. en turismo,educacion,presencial,6,2024-04-17,Lachixio
1812,Escuela Normal,lic. en educacion,economia,virtual,8,2024-08-22,Tlacolula
1813,Escuela Normal,diseño grafico,educacion,presencial,10,2024-07-24,juarez
1814,Instituto Tecnologico,tec. en electronica,artes,virtual,8,2024-02-06,Huajuapan
1815,Tebacsso,lic en enfermeria,ingenieria,semi presencial,10,2024-05-11,Pochutla
1816,Instituto Superior,contabilidad,tecnologia,semi presencial,10,2024-03-05,Etla
1817,Colegio De Bachilleres,administracion de empresas,artes,presencial,8,2024-12-23,Lachixio
1818,Ujat,lic. en psicologia,educacion,semi presencial,8,2024-03-27,Lachixio
1819,Escuela Normal,tec. en electronica,educacion,semi presencial,10,2024-03-23,Lachixio
1820,Ies Oaxaca,ingenieria civil,salud,semi presencial,8,2024-11-10,Salina Cruz
1821,Univers. Autonoma,diseño grafico,tecnologia,virtual,8,2024-02-24,Pochutla
1822,Colegio De Bachilleres,lic. en filosofia,tecnologia,semi presencial,10,2024-10-19,Lachixio
1823,Instituto Tecnologico,lic. en educacion,economia,virtual,10,2024-03-24,Etla
1824,Tecnologica Del Valle,tec. en electronica,ingenieria,presencial,6,2024-10-10,Xoxocotlan
1825,Ujat,administracion de empresas,tecnologia,virtual,10,2024-09-12,Etla
1826,Instituto Tecnologico,lic. en psicologia,derecho,presencial,8,2024-05-27,juarez
1827,Instituto Tecnologico,contabilidad,salud,virtual,6,2024-03-17,juarez
1828,Centro De Estudios,lic. en psicologia,economia,presencial,10,2024-03-04,Salina Cruz
1829,Instituto Superior,lic. en filosofia,ciencias sociales,virtual,6,2024-05-05,Etla
1830,Ies Oaxaca,ingenieria civil,ingenieria,presencial,8,2024-03-19,Pochutla
1831,Ies Oaxaca,ingenieria electronica,salud,presencial,10,2024-12-13,Lachixio
1832,Ujat,contabilidad,ciencias sociales,virtual,8,2024-06-07,Ixtlan
1833,Ies Oaxaca,tec. en electronica,ciencias sociales,semi presencial,10,2024-05-12,Salina Cruz
1834,Tecnologica Del Valle,lic. en derecho,artes,virtual,6,2024-10-11,Pochutla
1835,Centro De Estudios,lic. en psicologia,derecho,presencial,6,2024-08-11,oaxaca capital
1836,Ies Oaxaca,ingenieria civil,derecho,semi presencial,6,2024-07-24,Xoxocotlan
1837,Tebacsso,tec. en electronica,ingenieria,presencial,10,2024-01-03,Tlacolula
1838,Colegio De Bachilleres,tec. en informatica,educacion,semi presencial,6,2024-08-04,Lachixio
1839,Centro De Estudios,lic. en derecho,salud,virtual,8,2024-05-29,Tlacolula
1840,Instituto Tecnologico,lic. en educacion,administracion,presencial,8,2024-10-12,Etla
1841,Uabjo,lic. en filosofia,ciencias sociales,semi presencial,8,2024-05-12,Huajuapan
1842,Instituto Superior,diseño grafico,economia,semi presencial,10,2024-01-14,Pochutla
1843,Instituto Tecnologico,lic en enfermeria,educacion,semi presencial,10,2024-04-07,Tlacolula
1844,Tecnologica Del Valle,lic. en psicologia,economia,semi presencial,8,2024-11-27,oaxaca capital
1845,Ujat,lic. en economia,ciencias sociales,virtual,8,2024-02-17,juarez
1846,Univers. Autonoma,ingenieria civil,tecnologia,virtual,10,2024-08-06,Ixtlan
1847,Uabjo,ingenieria electronica,administracion,virtual,6,2024-03-12,oaxaca capital
1848,Uabjo,lic. en educacion,artes,semi presencial,8,2024-05-29,juarez
1849,Tebacsso,tec en mecanica,artes,semi presencial,8,2024-02-22,Pochutla
1850,Centro De Estudios,ingenieria en sistemas computacionales,educacion,virtual,8,2024-03-18,Huajuapan
1851,Ies Oaxaca,lic. en biologia,artes,virtual,8,2024-02-13,Pochutla
1852,Tecnologica Del Valle,tec. en electronica,ciencias sociales,virtual,10,2024-09-09,juarez
1853,Instituto Tecnologico,tec en mecanica,administracion,presencial,6,2024-07-20,Lachixio
1854,Colegio De Bachilleres,contabilidad,tecnologia,virtual,6,2024-03-26,oaxaca capital
1855,Ies Oaxaca,ingenieria civil,ciencias sociales,virtual,8,2024-05-28,Xoxocotlan
1856,Cecyte,lic. en educacion,humanidades,presencial,10,2024-12-28,Ixtlan
1857,Ujat,tec. en informatica,administracion,presencial,6,2024-02-27,Lachixio
1858,Escuela Normal,tec en mecanica,derecho,semi presencial,6,2024-02-21,Salina Cruz
1859,Tecnologica Del Valle,lic. en turismo,salud,semi presencial,10,2024-05-05,Tlacolula
1860,Colegio De Bachilleres,administracion de empresas,humanidades,virtual,10,2024-10-08,Lachixio
1861,Tebacsso,lic. en filosofia,artes,presencial,8,2024-06-29,Ixtlan
1862,Conalep,ingenieria en sistemas computacionales,administracion,virtual,10,2024-04-10,Salina Cruz
1863,Uabjo,lic. en comunicacion,salud,semi presencial,6,2024-03-02,Ixtlan
1864,Conalep,lic. en educacion,ciencias sociales,virtual,8,2024-04-26,Ixtlan
1865,Tecnologica Del Valle,lic. en filosofia,economia,virtual,8,2024-07-20,juarez
1866,Instituto Tecnologico,lic. en derecho,ingenieria,semi presencial,10,2024-10-22,Pochutla
1867,Ujat,lic. en educacion,artes,semi presencial,8,2024-10-17,juarez
1868,Conalep,lic. en educacion,humanidades,virtual,8,2024-03-07,Etla
1869,Ies Oaxaca,tec. en informatica,ingenieria,semi presencial,10,2024-06-09,Salina Cruz
1870,Escuela Normal,ingenieria electronica,economia,presencial,8,2024-06-06,Lachixio
1871,Escuela Normal,tec. en electronica,humanidades,presencial,10,2024-05-10,Tlacolula
1872,Tecnologica Del Valle,lic. en derecho,ingenieria,virtual,6,2024-04-28,Salina Cruz
1873,Instituto Superior,lic. en filosofia,educacion,semi presencial,10,2024-03-29,Etla
1874,Uabjo,lic. en filosofia,derecho,presencial,8,2024-12-27,Lachixio
1875,Ujat,lic. en turismo,humanidades,virtual,10,2024-09-11,Xoxocotlan
1876,Centro De Estudios,tec en mecanica,ciencias sociales,virtual,6,2024-02-16,Xoxocotlan
1877,Ujat,tec. en informatica,administracion,virtual,8,2024-12-18,Lachixio
1878,Centro De Estudios,lic. en biologia,artes,semi presencial,6,2024-12-23,Huajuapan
1879,Tebacsso,lic. en derecho,ingenieria,presencial,10,2024-12-23,Pochutla
1880,Conalep,tec. en electronica,economia,semi presencial,8,2024-02-06,Pochutla
1881,Escuela Normal,contabilidad,educacion,presencial,10,2024-05-13,Tlacolula
1882,Instituto Tecnologico,tec en mecanica,tecnologia,virtual,8,2024-04-28,Ixtlan
1883,Instituto Tecnologico,lic. en turismo,ingenieria,virtual,10,2024-04-06,Salina Cruz
1884,Uabjo,lic. en educacion,ingenieria,presencial,6,2024-09-05,Tlacolula
1885,Instituto Superior,lic. en comunicacion,ingenieria,presencial,10,2024-04-22,Salina Cruz
1886,Instituto Superior,tec. en electronica,economia,virtual,8,2024-05-10,Ixtlan
1887,Instituto Tecnologico,contabilidad,ingenieria,presencial,6,2024-12-31,Salina Cruz
1888,Uabjo,tec. en informatica,educacion,semi presencial,8,2024-09-05,juarez
1889,Univers. Autonoma,lic. en comunicacion,economia,semi presencial,8,2024-08-14,Pochutla
1890,Colegio De Bachilleres,lic. en biologia,ciencias sociales,semi presencial,6,2024-03-06,Etla
1891,Centro De Estudios,tec. en informatica,ciencias sociales,semi presencial,6,2024-02-08,Pochutla
1892,Uabjo,lic. en derecho,derecho,virtual,10,2024-02-01,Etla
1893,Instituto Tecnologico,lic. en filosofia,humanidades,virtual,8,2024-01-25,Lachixio
1894,Centro De Estudios,diseño grafico,ingenieria,presencial,6,2024-11-17,Pochutla
1895,Univers. Autonoma,lic. en filosofia,tecnologia,virtual,10,2024-11-09,Pochutla
1896,Escuela Normal,tec en mecanica,tecnologia,semi presencial,8,2024-03-23,Ixtlan
1897,Cecyte,diseño grafico,tecnologia,semi presencial,8,2024-03-10,Salina Cruz
1898,Cecyte,lic. en biologia,tecnologia,presencial,10,2024-06-17,Etla
1899,Centro De Estudios,tec. en electronica,administracion,semi presencial,6,2024-09-28,Xoxocotlan
1900,Uabjo,contabilidad,economia,semi presencial,6,2024-11-13,Salina Cruz
1901,Escuela Normal,lic. en biologia,tecnologia,presencial,10,2024-06-11,Salina Cruz
1902,Conalep,lic. en psicologia,salud,presencial,8,2024-10-15,oaxaca capital
1903,Centro De Estudios,lic en enfermeria,humanidades,virtual,10,2024-04-22,juarez
1904,Instituto Superior,administracion de empresas,administracion,virtual,8,2024-11-07,Ixtlan
1905,Tebacsso,lic. en comunicacion,economia,semi presencial,8,2024-07-22,Pochutla
1906,Uabjo,tec. en informatica,ciencias sociales,semi presencial,6,2024-10-01,Salina Cruz
1907,Uabjo,ingenieria electronica,educacion,presencial,6,2024-06-10,Etla
1908,Uabjo,ingenieria civil,salud,virtual,6,2024-07-21,Tlacolula
1909,Centro De Estudios,tec. en electronica,humanidades,virtual,8,2024-05-13,Lachixio
1910,Tebacsso,ingenieria en sistemas computacionales,salud,semi presencial,10,2024-05-30,Lachixio
1911,Uabjo,administracion de empresas,humanidades,semi presencial,6,2024-07-01,Huajuapan
1912,Tecnologica Del Valle,ingenieria en sistemas computacionales,educacion,presencial,8,2024-05-10,Salina Cruz
1913,Uabjo,tec. en electronica,derecho,presencial,10,2024-10-03,Lachixio
1914,Tecnologica Del Valle,tec. en electronica,administracion,presencial,6,2024-03-24,Xoxocotlan
1915,Tebacsso,ingenieria en sistemas computacionales,tecnologia,virtual,10,2024-07-11,Ixtlan
1916,Ujat,lic. en derecho,derecho,virtual,10,2024-12-20,Etla
1917,Centro De Estudios,lic. en filosofia,administracion,semi presencial,10,2024-10-06,Pochutla
1918,Tebacsso,ingenieria civil,administracion,presencial,6,2024-07-14,Xoxocotlan
1919,Escuela Normal,lic. en derecho,salud,semi presencial,8,2024-01-25,Pochutla
1920,Escuela Normal,lic. en psicologia,economia,presencial,10,2024-08-27,Lachixio
1921,Centro De Estudios,ingenieria electronica,educacion,presencial,6,2024-08-16,Tlacolula
1922,Uabjo,diseño grafico,ingenieria,virtual,8,2024-07-07,Etla
1923,Uabjo,ingenieria civil,derecho,virtual,8,2024-10-13,juarez
1924,Instituto Tecnologico,lic. en derecho,educacion,presencial,8,2024-03-18,Lachixio
1925,Ies Oaxaca,contabilidad,economia,virtual,8,2024-01-07,Etla
1926,Tebacsso,ingenieria electronica,artes,virtual,10,2024-04-03,oaxaca capital
1927,Ies Oaxaca,tec. en informatica,ingenieria,semi presencial,10,2024-04-08,Salina Cruz
1928,Escuela Normal,lic en enfermeria,artes,semi presencial,10,2024-02-10,Salina Cruz
1929,Colegio De Bachilleres,lic. en derecho,economia,presencial,8,2024-08-08,Lachixio
1930,Instituto Superior,lic. en comunicacion,salud,presencial,8,2024-03-17,Tlacolula
1931,Univers. Autonoma,tec. en electronica,derecho,presencial,6,2024-11-03,Ixtlan
1932,Centro De Estudios,diseño grafico,ciencias sociales,virtual,8,2024-09-03,Huajuapan
1933,Conalep,lic. en biologia,derecho,presencial,10,2024-10-23,Lachixio
1934,Escuela Normal,lic. en economia,economia,virtual,8,2024-08-09,oaxaca capital
1935,Uabjo,lic. en filosofia,educacion,semi presencial,6,2024-12-18,Ixtlan
1936,Ies Oaxaca,administracion de empresas,salud,presencial,6,2024-04-08,Tlacolula
1937,Cecyte,lic. en filosofia,tecnologia,semi presencial,8,2024-12-09,Huajuapan
1938,Conalep,diseño grafico,tecnologia,virtual,8,2024-06-14,Pochutla
1939,Ies Oaxaca,tec. en informatica,educacion,virtual,6,2024-02-20,oaxaca capital
1940,Centro De Estudios,contabilidad,ciencias sociales,presencial,8,2024-02-29,Xoxocotlan
1941,Ujat,ingenieria civil,derecho,presencial,10,2024-12-04,Huajuapan
1942,Tebacsso,tec. en informatica,derecho,presencial,8,2024-06-12,juarez
1943,Escuela Normal,lic en enfermeria,tecnologia,presencial,8,2024-02-09,Tlacolula
1944,Conalep,lic. en psicologia,administracion,presencial,8,2024-10-05,Tlacolula
1945,Instituto Superior,tec. en electronica,humanidades,virtual,8,2024-09-02,Ixtlan
1946,Tecnologica Del Valle,lic. en comunicacion,educacion,presencial,8,2024-10-11,Xoxocotlan
1947,Ies Oaxaca,ingenieria electronica,salud,semi presencial,10,2024-08-06,juarez
1948,Colegio De Bachilleres,lic. en derecho,economia,presencial,8,2024-01-26,Pochutla
1949,Instituto Tecnologico,contabilidad,humanidades,virtual,8,2024-06-11,Salina Cruz
1950,Ujat,lic. en derecho,administracion,virtual,10,2024-04-12,oaxaca capital
1951,Centro De Estudios,lic. en comunicacion,tecnologia,virtual,6,2024-06-01,Tlacolula
1952,Instituto Superior,diseño grafico,ciencias sociales,virtual,10,2024-08-27,Pochutla
1953,Cecyte,lic. en psicologia,humanidades,virtual,8,2024-07-13,juarez
1954,Ies Oaxaca,lic. en educacion,humanidades,presencial,6,2024-10-19,juarez
1955,Uabjo,diseño grafico,ingenieria,virtual,8,2024-11-21,Lachixio
1956,Ujat,lic. en turismo,ciencias sociales,virtual,10,2024-02-06,oaxaca capital
1957,Centro De Estudios,lic. en educacion,ingenieria,virtual,6,2024-05-10,Lachixio
1958,Instituto Tecnologico,lic. en derecho,salud,virtual,6,2024-01-06,Salina Cruz
1959,Ies Oaxaca,lic. en educacion,ciencias sociales,semi presencial,8,2024-08-12,juarez
1960,Ies Oaxaca,lic. en psicologia,economia,presencial,10,2024-06-30,Xoxocotlan
1961,Cecyte,lic. en comunicacion,derecho,semi presencial,8,2024-08-09,Lachixio
