id,profesion,tasa_ocupacion,nivel_educativo,fecha_registro,municipio
898,técnico en telecomunicaciones,70.4,prof.univ.,2024-01-25,Huajuapan
899,maestro de obra,45.8,bachillerato,2024-11-25,Salina Cruz
900,abogado,78.1,licenciatura completa,2024-12-08,San Juan
901,jardinero,69.4,doctorado,2024-07-13,Santiago
902,guardia de seguridad,75.4,maestria,2024-06-09,Etla
903,tec. en electricidad,60.6,primaria,2024-02-23,Ocotlan
904,cocinero,94.7,prof.univ.,2024-09-15,Puerto Escondido
905,programador,67.9,maestria,2024-08-07,Crucecita
906,abogado,82.3,especialidad,2024-02-06,Huatulco
907,soldador,75.0,especialidad,2024-06-27,Huajuapan
908,técnico en telecomunicaciones,51.2,tecnico,2024-02-22,Santiago
909,plomero,70.7,primaria,2024-12-14,Huajuapan
910,carpintero,58.0,tecnico,2024-09-07,Santiago
911,economista,42.4,bachillerato,2024-08-05,Tututepec
912,académico,44.8,bachillerato,2024-06-14,juarez
913,técnico en electrónica,75.0,especialidad,2024-12-16,Tlacolula
914,programador,75.7,doctorado,2024-12-12,Macuiltianguis
915,vendedor,85.7,tecnico,2024-09-29,San Juan
916,cocinero,78.8,lic.incompleta,2024-09-10,oaxaca capital
917,cocinero,76.3,lic.incompleta,2024-04-03,Xoxocotlan
918,consultor,65.3,tecnico,2024-11-06,Pochutla
919,tec. en electricidad,84.0,bachillerato,2024-11-19,Tlacolula
920,ejecutivo de ventas,47.5,prof.univ.,2024-09-09,Puerto Escondido
921,docente,47.9,bachillerato,2024-08-05,Huajuapan
922,analista,85.4,especialidad,2024-12-19,Pochutla
923,docente,86.3,bachillerato,2024-10-27,San Juan
924,representante comercial,45.3,secundaria,2024-01-26,Santa Catarina
925,académico,93.1,bachillerato,2024-12-13,Macuiltianguis
926,transportista,87.0,primaria,2024-02-24,oaxaca capital
927,soldador,56.0,prof.univ.,2024-05-16,Huajuapan
928,psicólogo,64.4,especialidad,2024-05-23,juarez
929,cocinero,72.7,secundaria,2024-02-07,Macuiltianguis
930,técnico de mantenimiento,82.0,licenciatura completa,2024-04-09,Crucecita
931,dentista,91.7,doctorado,2024-04-03,Xoxocotlan
932,arquitecto,83.5,especialidad,2024-02-27,San Pablo Etla
933,contador,49.6,bachillerato,2024-08-21,Huatulco
934,contador,58.0,tecnico,2024-05-09,Macuiltianguis
935,profesor,58.3,tecnico,2024-10-26,Santa Catarina
936,técnico de mantenimiento,86.3,especialidad,2024-07-29,Puerto Escondido
937,guardia de seguridad,55.5,lic.incompleta,2024-01-01,juarez
938,soldador,74.8,especialidad,2024-07-10,Ixtlan
939,auditor,83.9,tecnico,2024-11-17,Ocotlan
940,consultor,65.3,tecnico,2024-05-10,Puerto Escondido
941,diseñador grafico,61.3,primaria,2024-05-21,Huatulco
942,investigador,56.5,licenciatura completa,2024-01-14,juarez
943,técnico en electrónica,68.3,tecnico,2024-08-19,Macuiltianguis
944,psicólogo,58.6,prof.univ.,2024-05-18,Ixtlan
945,carpintero,45.1,doctorado,2024-08-24,Crucecita
946,contador,86.0,tecnico,2024-07-21,Ocotlan
947,contador,46.9,secundaria,2024-05-10,juarez
948,profesor,47.8,maestria,2024-07-09,Tututepec
949,asistente administrativo,88.4,secundaria,2024-04-12,Santiago
950,tec. en electricidad,70.0,doctorado,2024-02-22,San Pablo Etla
951,pintor,82.3,prof.univ.,2024-04-12,oaxaca capital
952,maestro de obra,50.5,bachillerato,2024-03-04,Xoxocotlan
953,abogado,41.6,tecnico,2024-11-24,Santiago
954,ejecutivo de ventas,90.5,especialidad,2024-02-28,Huatulco
955,auditor,54.4,lic.incompleta,2024-10-25,Tututepec
956,técnico de mantenimiento,51.3,maestria,2024-05-14,Macuiltianguis
957,capacitador,77.6,especialidad,2024-12-09,Santiago
958,cocinero,88.9,especialidad,2024-09-22,Pochutla
959,coordinador,45.9,doctorado,2024-06-26,San Pablo Etla
960,cocinero,42.9,tecnico,2024-08-31,Tututepec
961,pintor,82.4,primaria,2024-05-29,Pochutla
962,auditor,41.4,doctorado,2024-01-18,Huajuapan
963,contador,46.6,primaria,2024-02-03,Puerto Escondido
964,carpintero,72.4,lic.incompleta,2024-07-06,Lachixio
965,gerente,81.1,secundaria,2024-08-22,Macuiltianguis
966,auditor,48.2,bachillerato,2024-06-16,juarez
967,electricista,84.5,especialidad,2024-01-13,Santiago
968,carpintero,88.4,lic.incompleta,2024-05-18,Santa Catarina
969,economista,79.1,bachillerato,2024-05-12,juarez
970,representante comercial,79.3,prof.univ.,2024-08-25,Santa Catarina
971,arquitecto,50.1,maestria,2024-07-09,Salina Cruz
972,pintor,69.5,tecnico,2024-07-23,Xoxocotlan
973,ingeniero de sistemas,49.0,especialidad,2024-05-19,Santa Catarina
974,economista,55.8,primaria,2024-01-22,Tututepec
975,cocinero,69.7,prof.univ.,2024-01-06,Lachixio
976,docente,47.5,bachillerato,2024-01-20,Salina Cruz
977,jardinero,42.1,tecnico,2024-01-09,San Pablo Etla
978,psicólogo,54.4,licenciatura completa,2024-08-20,Huajuapan
979,ejecutivo de ventas,81.8,prof.univ.,2024-09-11,Puerto Escondido
980,vendedor,72.2,maestria,2024-07-05,Santiago
981,supervisor,43.1,primaria,2024-04-09,Puerto Escondido
982,abogado,78.4,tecnico,2024-08-27,oaxaca capital
983,plomero,77.4,bachillerato,2024-10-27,oaxaca capital
984,abogado,69.2,primaria,2024-06-16,juarez
985,mecanico,83.8,bachillerato,2024-11-13,Santa Catarina
986,capacitador,59.6,maestria,2024-02-13,Ixtlan
987,contador,60.7,bachillerato,2024-08-01,Lachixio
988,supervisor,70.2,maestria,2024-06-11,Huatulco
989,enfermero,50.2,maestria,2024-07-12,Lachixio
990,coordinador,46.6,prof.univ.,2024-09-25,Crucecita
991,economista,77.4,especialidad,2024-05-08,Santa Catarina
992,pintor,41.6,bachillerato,2024-06-26,Ocotlan
993,asistente administrativo,51.7,bachillerato,2024-12-23,Santa Catarina
994,auditor,75.5,bachillerato,2024-08-23,Pochutla
995,analista,69.8,bachillerato,2024-09-26,Salina Cruz
996,electricista,81.2,bachillerato,2024-02-05,Etla
997,ingeniero de sistemas,64.8,prof.univ.,2024-05-07,Ocotlan
998,maestro de obra,43.2,especialidad,2024-02-29,Pochutla
999,capacitador,82.4,prof.univ.,2024-12-28,Tututepec
1000,transportista,62.8,especialidad,2024-02-14,San Juan
1001,maestro de obra,62.7,licenciatura completa,2024-12-04,Macuiltianguis
1002,mecanico,86.6,lic.incompleta,2024-02-29,Salina Cruz
1003,camarero,82.4,lic.incompleta,2024-06-29,Huatulco
1004,programador,73.7,doctorado,2024-07-21,Santa Catarina
1005,coordinador,78.9,licenciatura completa,2024-01-24,Crucecita
1006,asistente administrativo,48.5,prof.univ.,2024-05-24,Lachixio
1007,guardia de seguridad,87.6,bachillerato,2024-02-25,Salina Cruz
1008,psicólogo,78.4,licenciatura completa,2024-11-09,Salina Cruz
1009,pintor,53.9,especialidad,2024-12-07,juarez
1010,chef,55.1,lic.incompleta,2024-02-01,San Pablo Etla
1011,cocinero,65.0,lic.incompleta,2024-04-08,Ocotlan
1012,profesor,82.0,secundaria,2024-05-12,Lachixio
1013,auditor,45.2,doctorado,2024-06-02,Tlacolula
1014,plomero,89.3,primaria,2024-01-18,Puerto Escondido
1015,camarero,61.5,doctorado,2024-05-03,Lachixio
1016,soldador,54.9,licenciatura completa,2024-07-08,Tututepec
1017,coordinador,70.3,secundaria,2024-07-08,oaxaca capital
1018,diseñador grafico,73.2,primaria,2024-09-03,Huatulco
1019,carpintero,58.2,tecnico,2024-01-15,oaxaca capital
1020,jardinero,51.5,maestria,2024-02-24,Crucecita
1021,gerente,67.5,maestria,2024-10-03,Ixtlan
1022,conductor,68.3,maestria,2024-05-13,juarez
1023,asistente administrativo,54.6,bachillerato,2024-05-08,juarez
1024,dentista,52.9,doctorado,2024-06-06,Salina Cruz
1025,gerente,75.4,doctorado,2024-01-10,Puerto Escondido
1026,enfermero,51.5,bachillerato,2024-09-21,Crucecita
1027,arquitecto,91.0,prof.univ.,2024-10-19,Ocotlan
1028,chef,81.3,prof.univ.,2024-03-19,Tlacolula
1029,auditor,61.3,prof.univ.,2024-01-20,Macuiltianguis
1030,camarero,51.7,maestria,2024-04-20,Ocotlan
1031,mecanico,93.9,licenciatura completa,2024-07-03,Puerto Escondido
1032,asistente administrativo,74.2,secundaria,2024-06-20,Puerto Escondido
1033,mecanico,77.5,prof.univ.,2024-05-11,Ixtlan
1034,soldador,41.5,bachillerato,2024-01-05,Macuiltianguis
1035,investigador,68.3,prof.univ.,2024-01-25,San Juan
1036,maestro de obra,52.6,tecnico,2024-06-05,juarez
1037,programador,82.7,primaria,2024-07-06,Etla
1038,asistente administrativo,63.9,maestria,2024-10-17,Santa Catarina
1039,analista,68.8,prof.univ.,2024-05-17,Puerto Escondido
1040,representante comercial,91.7,bachillerato,2024-02-07,Xoxocotlan
1041,contador,79.4,bachillerato,2024-06-18,Etla
1042,jardinero,43.0,maestria,2024-07-07,San Juan
1043,investigador,44.2,prof.univ.,2024-12-21,Salina Cruz
1044,plomero,59.9,primaria,2024-05-26,Macuiltianguis
1045,maestro de obra,59.4,especialidad,2024-09-13,Santiago
1046,enfermero,40.8,lic.incompleta,2024-12-09,Ocotlan
1047,transportista,49.6,secundaria,2024-11-20,Tlacolula
1048,conductor,40.2,bachillerato,2024-04-02,Ixtlan
1049,soldador,57.3,prof.univ.,2024-09-25,Ocotlan
1050,psicólogo,72.7,licenciatura completa,2024-08-28,Puerto Escondido
1051,transportista,69.9,secundaria,2024-10-14,juarez
1052,chef,48.8,maestria,2024-05-23,Ocotlan
1053,electricista,54.4,lic.incompleta,2024-05-29,juarez
1054,electricista,80.2,licenciatura completa,2024-03-22,Etla
1055,investigador,54.9,secundaria,2024-02-05,Ixtlan
1056,analista,78.5,primaria,2024-07-05,Lachixio
1057,jardinero,50.9,primaria,2024-08-17,Lachixio
1058,coordinador,72.2,maestria,2024-08-25,Huajuapan
1059,soldador,41.4,licenciatura completa,2024-04-08,juarez
1060,maestro de obra,64.3,tecnico,2024-12-23,Tlacolula
1061,profesor,55.5,tecnico,2024-09-23,Pochutla
1062,guardia de seguridad,73.8,bachillerato,2024-01-06,Etla
1063,ejecutivo de ventas,75.8,tecnico,2024-05-22,oaxaca capital
1064,contador,94.2,prof.univ.,2024-04-14,Etla
1065,auditor,41.4,licenciatura completa,2024-01-21,Santa Catarina
1066,programador,56.6,bachillerato,2024-04-04,Xoxocotlan
1067,ejecutivo de ventas,60.1,primaria,2024-07-16,Huajuapan
1068,chef,53.5,licenciatura completa,2024-08-01,Salina Cruz
1069,técnico en telecomunicaciones,93.4,lic.incompleta,2024-04-29,Xoxocotlan
1070,mecanico,41.8,especialidad,2024-02-28,San Juan
1071,camarero,64.9,licenciatura completa,2024-04-21,Ixtlan
1072,soldador,90.7,especialidad,2024-08-05,Ixtlan
1073,vendedor,81.6,bachillerato,2024-01-07,Salina Cruz
1074,dentista,89.3,prof.univ.,2024-02-29,Tlacolula
1075,representante comercial,43.2,doctorado,2024-02-25,Crucecita
1076,auditor,51.3,lic.incompleta,2024-12-20,juarez
1077,camarero,76.0,tecnico,2024-07-12,Lachixio
1078,psicólogo,91.3,primaria,2024-06-19,Tututepec
1079,programador,72.7,primaria,2024-08-05,Tlacolula
1080,carpintero,81.9,prof.univ.,2024-05-09,Huatulco
1081,técnico de mantenimiento,48.0,doctorado,2024-11-27,Xoxocotlan
1082,enfermero,82.4,licenciatura completa,2024-03-06,Tututepec
1083,vendedor,62.7,secundaria,2024-01-08,Xoxocotlan
1084,técnico en telecomunicaciones,83.5,tecnico,2024-10-20,San Juan
1085,camarero,80.3,lic.incompleta,2024-12-12,Pochutla
1086,chef,93.9,primaria,2024-03-23,San Pablo Etla
1087,docente,55.1,doctorado,2024-11-16,Etla
1088,representante comercial,76.4,licenciatura completa,2024-08-03,Xoxocotlan
1089,guardia de seguridad,66.9,secundaria,2024-01-16,Ocotlan
1090,coordinador,62.5,primaria,2024-05-12,Tututepec
1091,gerente,76.2,primaria,2024-07-03,Etla
1092,docente,53.0,maestria,2024-08-11,Huajuapan
1093,capacitador,51.4,especialidad,2024-10-24,Ocotlan
1094,académico,86.4,tecnico,2024-12-02,Ixtlan
1095,docente,80.7,lic.incompleta,2024-03-18,juarez
1096,mecanico,40.0,secundaria,2024-08-12,Ixtlan
1097,tec. en electricidad,46.0,prof.univ.,2024-02-19,Huatulco
1098,vendedor,70.3,lic.incompleta,2024-11-20,Ixtlan
1099,pintor,80.3,licenciatura completa,2024-08-03,Santa Catarina
1100,psicólogo,64.9,licenciatura completa,2024-08-29,Salina Cruz
1101,vendedor,44.2,prof.univ.,2024-03-12,Santa Catarina
1102,vendedor,83.6,lic.incompleta,2024-12-12,Lachixio
1103,programador,72.1,licenciatura completa,2024-09-23,Pochutla
1104,ingeniero de sistemas,84.8,primaria,2024-06-03,Pochutla
1105,guardia de seguridad,58.4,doctorado,2024-06-24,Tututepec
1106,supervisor,57.9,secundaria,2024-07-18,San Juan
1107,plomero,88.5,licenciatura completa,2024-04-24,Pochutla
1108,contador,44.1,lic.incompleta,2024-06-09,Ixtlan
1109,electricista,40.3,tecnico,2024-12-17,Puerto Escondido
1110,asistente administrativo,47.3,prof.univ.,2024-09-23,Salina Cruz
1111,cocinero,61.4,prof.univ.,2024-01-22,oaxaca capital
1112,diseñador grafico,42.0,especialidad,2024-12-15,oaxaca capital
1113,pintor,81.7,tecnico,2024-07-25,Crucecita
1114,diseñador grafico,63.3,prof.univ.,2024-07-20,Santiago
1115,conductor,55.9,bachillerato,2024-11-27,Ixtlan
1116,mecanico,91.7,maestria,2024-07-19,Xoxocotlan
1117,coordinador,53.5,prof.univ.,2024-07-03,San Juan
1118,carpintero,69.3,tecnico,2024-12-06,Huajuapan
1119,maestro de obra,91.3,tecnico,2024-07-25,oaxaca capital
1120,psicólogo,74.8,secundaria,2024-10-29,Tututepec
1121,consultor,62.8,tecnico,2024-08-02,Tututepec
1122,académico,75.1,secundaria,2024-06-16,Tututepec
1123,cocinero,69.7,tecnico,2024-06-13,Crucecita
1124,camarero,85.9,licenciatura completa,2024-04-19,Ixtlan
1125,enfermero,45.5,secundaria,2024-12-30,Xoxocotlan
1126,guardia de seguridad,63.3,lic.incompleta,2024-01-12,Ixtlan
1127,contador,58.0,prof.univ.,2024-04-08,Ixtlan
1128,docente,87.2,lic.incompleta,2024-11-21,Huajuapan
1129,cocinero,54.2,maestria,2024-02-10,Huatulco
1130,pintor,64.7,doctorado,2024-01-23,Huatulco
1131,pintor,62.4,maestria,2024-08-24,Xoxocotlan
1132,representante comercial,41.8,maestria,2024-09-10,Xoxocotlan
1133,docente,91.5,tecnico,2024-02-13,San Pablo Etla
1134,arquitecto,47.1,bachillerato,2024-06-09,Lachixio
1135,gerente,86.9,lic.incompleta,2024-08-19,juarez
1136,dentista,49.7,primaria,2024-01-14,Ixtlan
1137,dentista,77.9,primaria,2024-03-23,Huatulco
1138,docente,86.6,licenciatura completa,2024-07-29,Puerto Escondido
1139,abogado,57.0,primaria,2024-01-01,Tututepec
1140,vendedor,57.1,licenciatura completa,2024-02-03,Macuiltianguis
1141,maestro de obra,89.5,bachillerato,2024-02-16,juarez
1142,enfermero,45.4,primaria,2024-05-03,Ixtlan
1143,transportista,79.1,bachillerato,2024-04-08,Huatulco
1144,analista,90.9,bachillerato,2024-03-23,Salina Cruz
1145,docente,74.7,prof.univ.,2024-07-31,Tututepec
1146,electricista,66.3,prof.univ.,2024-10-16,Santa Catarina
1147,plomero,49.3,tecnico,2024-08-18,Etla
1148,psicólogo,62.9,prof.univ.,2024-05-08,oaxaca capital
1149,representante comercial,72.1,doctorado,2024-03-30,Tututepec
1150,psicólogo,93.8,secundaria,2024-03-30,Etla
1151,carpintero,86.6,prof.univ.,2024-07-23,San Juan
1152,consultor,63.1,bachillerato,2024-01-09,Crucecita
1153,técnico en electrónica,74.3,maestria,2024-04-26,Puerto Escondido
1154,enfermero,72.4,licenciatura completa,2024-11-16,Xoxocotlan
1155,ingeniero de sistemas,85.8,primaria,2024-11-01,Ocotlan
1156,abogado,54.6,bachillerato,2024-04-17,Salina Cruz
1157,dentista,53.0,bachillerato,2024-01-08,Puerto Escondido
1158,psicólogo,93.8,lic.incompleta,2024-07-31,San Juan
1159,docente,43.3,maestria,2024-05-11,San Pablo Etla
1160,arquitecto,62.1,bachillerato,2024-04-22,San Pablo Etla
1161,investigador,42.8,doctorado,2024-02-16,San Juan
1162,profesor,81.9,tecnico,2024-07-15,oaxaca capital
1163,académico,64.9,doctorado,2024-12-01,Tlacolula
1164,coordinador,62.7,maestria,2024-11-17,Huajuapan
1165,arquitecto,40.7,primaria,2024-05-11,Crucecita
1166,electricista,59.1,licenciatura completa,2024-01-30,Santiago
1167,gerente,41.7,secundaria,2024-09-13,Puerto Escondido
1168,asistente administrativo,41.4,primaria,2024-10-22,Pochutla
1169,transportista,70.7,lic.incompleta,2024-04-11,Salina Cruz
1170,abogado,94.8,maestria,2024-02-27,Etla
1171,ejecutivo de ventas,40.3,tecnico,2024-05-19,Santa Catarina
1172,técnico de mantenimiento,66.6,lic.incompleta,2024-11-04,Tututepec
1173,técnico en telecomunicaciones,52.1,bachillerato,2024-05-19,Etla
1174,profesor,64.3,especialidad,2024-07-12,Crucecita
1175,soldador,43.8,licenciatura completa,2024-05-02,Lachixio
1176,camarero,58.6,primaria,2024-02-16,oaxaca capital
1177,tec. en electricidad,88.0,prof.univ.,2024-04-19,Tututepec
1178,docente,69.7,primaria,2024-07-02,Tututepec
1179,supervisor,75.6,maestria,2024-02-09,San Juan
1180,transportista,72.9,doctorado,2024-10-08,Puerto Escondido
1181,guardia de seguridad,89.2,prof.univ.,2024-05-30,Santa Catarina
1182,técnico de mantenimiento,51.3,tecnico,2024-02-07,Santa Catarina
1183,gerente,42.4,maestria,2024-07-01,Huajuapan
1184,mecanico,42.5,maestria,2024-02-03,Crucecita
1185,camarero,49.9,primaria,2024-12-03,Xoxocotlan
1186,ejecutivo de ventas,86.4,especialidad,2024-07-03,Ocotlan
1187,tec. en electricidad,76.5,tecnico,2024-08-29,Ixtlan
1188,docente,42.7,bachillerato,2024-05-18,Salina Cruz
1189,representante comercial,54.2,especialidad,2024-12-03,Lachixio
1190,electricista,42.9,licenciatura completa,2024-08-12,Xoxocotlan
1191,técnico de mantenimiento,41.0,maestria,2024-11-27,Xoxocotlan
1192,diseñador grafico,43.4,prof.univ.,2024-09-02,Lachixio
1193,profesor,60.4,prof.univ.,2024-07-12,Huatulco
1194,mecanico,90.1,bachillerato,2024-10-28,Tututepec
1195,arquitecto,93.8,tecnico,2024-11-19,Santiago
1196,ejecutivo de ventas,66.7,prof.univ.,2024-04-21,Tututepec
1197,pintor,66.9,secundaria,2024-09-05,Xoxocotlan
1198,dentista,56.1,especialidad,2024-06-12,Tututepec
1199,investigador,44.2,maestria,2024-06-26,Tututepec
1200,mecanico,84.5,especialidad,2024-07-31,Macuiltianguis
1201,contador,61.9,lic.incompleta,2024-06-11,Macuiltianguis
1202,carpintero,51.9,licenciatura completa,2024-02-14,Xoxocotlan
1203,arquitecto,88.6,prof.univ.,2024-03-16,San Pablo Etla
1204,asistente administrativo,52.6,maestria,2024-12-20,Santa Catarina
1205,cocinero,59.8,secundaria,2024-12-24,Tlacolula
1206,soldador,75.4,licenciatura completa,2024-01-24,oaxaca capital
1207,auditor,64.0,secundaria,2024-04-19,Tlacolula
1208,ingeniero de sistemas,86.4,secundaria,2024-06-18,juarez
1209,economista,49.4,maestria,2024-11-07,Xoxocotlan
1210,pintor,56.7,bachillerato,2024-03-29,Puerto Escondido
1211,docente,77.9,doctorado,2024-01-01,Huajuapan
1212,carpintero,81.3,secundaria,2024-07-21,San Juan
1213,camarero,88.7,prof.univ.,2024-03-25,Tututepec
1214,cocinero,54.8,lic.incompleta,2024-06-01,Huatulco
1215,auditor,86.9,licenciatura completa,2024-01-07,Macuiltianguis
1216,enfermero,40.6,bachillerato,2024-05-01,San Juan
1217,abogado,43.2,secundaria,2024-08-15,San Pablo Etla
1218,coordinador,92.6,primaria,2024-03-19,Santiago
1219,analista,84.4,bachillerato,2024-09-27,San Juan
1220,auditor,77.8,lic.incompleta,2024-03-19,Tututepec
1221,supervisor,90.6,maestria,2024-05-20,Santa Catarina
1222,pintor,56.3,primaria,2024-03-21,Lachixio
1223,jardinero,74.2,primaria,2024-12-16,Ocotlan
1224,enfermero,66.6,tecnico,2024-10-04,San Pablo Etla
1225,carpintero,84.3,bachillerato,2024-10-20,Santiago
1226,plomero,49.0,doctorado,2024-05-26,Santa Catarina
1227,supervisor,66.1,maestria,2024-07-14,Crucecita
1228,ejecutivo de ventas,76.1,maestria,2024-06-10,Tututepec
1229,docente,90.5,tecnico,2024-04-10,Tlacolula
1230,ingeniero de sistemas,85.1,doctorado,2024-09-19,Puerto Escondido
1231,pintor,86.7,primaria,2024-10-21,juarez
1232,abogado,90.4,prof.univ.,2024-11-10,Crucecita
1233,economista,41.6,secundaria,2024-03-21,San Pablo Etla
1234,tec. en electricidad,71.1,prof.univ.,2024-06-06,Huatulco
1235,soldador,60.4,licenciatura completa,2024-04-08,Macuiltianguis
1236,consultor,73.4,lic.incompleta,2024-08-06,Crucecita
1237,jardinero,53.3,maestria,2024-04-10,Etla
1238,plomero,57.8,primaria,2024-01-31,Crucecita
1239,dentista,60.1,tecnico,2024-04-18,juarez
1240,analista,91.2,bachillerato,2024-12-05,Salina Cruz
1241,guardia de seguridad,58.5,especialidad,2024-06-14,San Pablo Etla
1242,cocinero,86.7,licenciatura completa,2024-08-17,Etla
1243,profesor,57.1,lic.incompleta,2024-05-10,Tlacolula
1244,programador,58.4,primaria,2024-08-15,San Pablo Etla
1245,maestro de obra,66.9,licenciatura completa,2024-06-22,Santiago
1246,arquitecto,69.9,bachillerato,2024-12-04,juarez
1247,maestro de obra,51.6,secundaria,2024-11-11,Ixtlan
1248,diseñador grafico,41.9,doctorado,2024-02-20,oaxaca capital
1249,soldador,56.1,maestria,2024-12-04,Pochutla
1250,economista,54.6,bachillerato,2024-05-16,Pochutla
1251,carpintero,55.1,maestria,2024-10-19,Xoxocotlan
1252,supervisor,51.8,primaria,2024-01-15,Huatulco
1253,arquitecto,63.6,tecnico,2024-10-02,San Juan
1254,representante comercial,67.2,prof.univ.,2024-03-18,Santiago
1255,consultor,46.3,lic.incompleta,2024-12-05,Macuiltianguis
1256,auditor,50.4,secundaria,2024-10-01,Huajuapan
1257,investigador,54.4,maestria,2024-05-16,San Pablo Etla
1258,consultor,86.9,doctorado,2024-02-07,Santiago
1259,contador,58.0,tecnico,2024-10-29,Ocotlan
1260,analista,80.6,licenciatura completa,2024-02-16,Xoxocotlan
1261,investigador,80.1,tecnico,2024-07-24,Santiago
1262,maestro de obra,87.5,primaria,2024-04-09,San Pablo Etla
1263,psicólogo,92.2,bachillerato,2024-06-25,Tututepec
1264,supervisor,65.3,maestria,2024-08-20,oaxaca capital
1265,auditor,68.0,tecnico,2024-11-10,Salina Cruz
1266,programador,71.9,doctorado,2024-04-16,Puerto Escondido
1267,transportista,93.4,bachillerato,2024-03-28,San Pablo Etla
1268,gerente,86.4,maestria,2024-01-05,juarez
1269,plomero,65.1,prof.univ.,2024-11-04,Tlacolula
1270,pintor,44.6,especialidad,2024-10-17,Santiago
1271,abogado,65.9,tecnico,2024-09-30,Etla
1272,analista,91.7,tecnico,2024-12-24,Ocotlan
1273,coordinador,86.9,primaria,2024-10-02,Tututepec
1274,chef,91.6,primaria,2024-02-06,Macuiltianguis
1275,investigador,61.1,especialidad,2024-10-26,Crucecita
1276,maestro de obra,40.7,tecnico,2024-07-04,Ocotlan
1277,representante comercial,64.6,prof.univ.,2024-07-19,Huajuapan
1278,capacitador,86.8,lic.incompleta,2024-11-07,Pochutla
1279,mecanico,65.0,primaria,2024-07-04,Macuiltianguis
1280,técnico en telecomunicaciones,41.5,licenciatura completa,2024-05-12,Xoxocotlan
1281,conductor,43.2,doctorado,2024-08-01,Xoxocotlan
1282,economista,68.9,secundaria,2024-11-05,Tututepec
1283,maestro de obra,85.3,licenciatura completa,2024-12-17,Santiago
1284,vendedor,51.2,bachillerato,2024-02-28,Lachixio
1285,investigador,92.9,especialidad,2024-01-13,Ocotlan
1286,jardinero,43.1,secundaria,2024-02-24,Crucecita
1287,abogado,73.6,lic.incompleta,2024-01-17,Pochutla
1288,vendedor,69.5,primaria,2024-04-12,Ixtlan
1289,académico,80.6,especialidad,2024-07-22,Huajuapan
1290,plomero,76.9,maestria,2024-10-23,Pochutla
1291,programador,87.9,bachillerato,2024-03-13,Crucecita
1292,dentista,54.6,secundaria,2024-12-17,Tututepec
1293,asistente administrativo,51.2,licenciatura completa,2024-12-14,Ixtlan
1294,investigador,83.1,doctorado,2024-06-07,Ocotlan
1295,dentista,64.3,maestria,2024-07-02,Ixtlan
1296,coordinador,63.3,prof.univ.,2024-06-04,oaxaca capital
1297,chef,43.9,lic.incompleta,2024-03-10,Huajuapan
1298,pintor,84.6,maestria,2024-11-19,Puerto Escondido
1299,maestro de obra,51.3,maestria,2024-10-30,Ixtlan
1300,arquitecto,61.0,licenciatura completa,2024-02-01,Pochutla
1301,conductor,73.8,doctorado,2024-10-20,Ixtlan
1302,guardia de seguridad,75.6,secundaria,2024-02-25,Puerto Escondido
1303,asistente administrativo,86.7,lic.incompleta,2024-02-03,Ixtlan
1304,enfermero,49.8,doctorado,2024-05-02,oaxaca capital
1305,supervisor,50.6,primaria,2024-05-25,Huatulco
1306,dentista,84.7,secundaria,2024-05-21,Tlacolula
1307,vendedor,77.4,bachillerato,2024-02-01,Lachixio
1308,psicólogo,92.5,tecnico,2024-06-28,Macuiltianguis
1309,docente,89.1,primaria,2024-06-29,Pochutla
1310,camarero,67.9,primaria,2024-08-03,Huatulco
1311,académico,80.7,tecnico,2024-10-30,Xoxocotlan
1312,representante comercial,82.5,prof.univ.,2024-08-13,Huajuapan
1313,abogado,50.2,bachillerato,2024-05-23,Pochutla
1314,camarero,85.4,lic.incompleta,2024-06-23,Crucecita
1315,técnico en telecomunicaciones,84.8,bachillerato,2024-03-14,San Pablo Etla
1316,investigador,81.4,maestria,2024-05-16,Lachixio
1317,maestro de obra,45.2,licenciatura completa,2024-10-29,Tlacolula
1318,académico,71.1,secundaria,2024-12-18,Lachixio
1319,chef,42.7,bachillerato,2024-11-18,Puerto Escondido
1320,ejecutivo de ventas,92.1,especialidad,2024-08-22,Huajuapan
1321,vendedor,76.3,secundaria,2024-09-21,Pochutla
1322,analista,77.2,bachillerato,2024-11-13,Huajuapan
1323,auditor,54.8,primaria,2024-08-03,oaxaca capital
1324,jardinero,50.5,especialidad,2024-12-16,Macuiltianguis
1325,conductor,61.8,licenciatura completa,2024-04-04,Huatulco
1326,profesor,54.5,bachillerato,2024-03-12,Lachixio
1327,representante comercial,91.2,licenciatura completa,2024-07-02,Ocotlan
1328,camarero,69.1,doctorado,2024-03-13,Crucecita
1329,técnico de mantenimiento,92.9,secundaria,2024-06-15,Huajuapan
1330,conductor,49.3,prof.univ.,2024-04-08,Etla
1331,camarero,52.5,prof.univ.,2024-11-26,Lachixio
1332,jardinero,63.7,maestria,2024-01-31,Tututepec
1333,analista,58.7,tecnico,2024-01-20,Tututepec
1334,camarero,64.2,secundaria,2024-06-16,Tututepec
1335,consultor,83.8,doctorado,2024-05-05,Crucecita
1336,mecanico,79.0,lic.incompleta,2024-05-07,Puerto Escondido
1337,profesor,88.8,maestria,2024-11-02,Macuiltianguis
1338,plomero,61.1,licenciatura completa,2024-08-26,Tlacolula
1339,electricista,53.1,secundaria,2024-04-19,Huajuapan
1340,representante comercial,89.3,tecnico,2024-03-07,Lachixio
